id,domain,reqtype,rrtype,response
1,api.pandocloud.com,A,CNAME,westexpired.dopa.com;103.232.215.159
2,lau-livecn.qlauncher.com,A,CNAME,767113.parkingcrew.net;54.72.9.51
3,i34hd.com,A,CNAME,548260.parkingcrew.net;54.72.9.115
4,iospage.3csky.net,A,CNAME,westexpired.dopa.com;50.117.113.220
5,sh.ctfs.ftn.kltvv.top,A,CNAME,westexpired.dopa.com;103.232.215.159
6,xfsh.ctfs.ftn.kltvv.top,A,CNAME,westexpired.dopa.com;103.232.215.159
7,tracker.sktorrent.net,AAAA,CNAME,545052.parkingcrew.net
8,xa.btfs.ftn.kltvv.top,A,CNAME,westexpired.dopa.com;103.232.215.159
9,wx.yahut.com.cn,A,CNAME,westexpired.dopa.com;103.232.215.159
10,xfcd.ctfs.ftn.kltvv.top,A,CNAME,westexpired.dopa.com;103.232.215.159
11,cd.ctfs.ftn.kltvv.top,A,CNAME,westexpired.dopa.com;103.232.215.159
12,wx.pyxt66.com.cn,A,CNAME,westexpired.dopa.com;103.232.215.159
13,3i.315wangdai.com,A,CNAME,westexpired.dopa.com;103.232.215.159
14,file.fjhmflor.com,A,CNAME,westexpired.dopa.com;103.232.215.159
15,bd1.dopa.com,A,CNAME,bd1.dopa.com.cname2087.yjs-cdn.com;112.13.72.131
16,asiapioneer.com.cn,A,CNAME,westexpired.dopa.com;103.232.215.159
17,count.qiqipower.com,A,CNAME,westexpired.dopa.com;103.232.215.159
18,cdn.av58.vip,A,CNAME,westexpired.dopa.com;103.232.215.159
19,plug-livecn.qlauncher.com,A,CNAME,767113.parkingcrew.net;54.72.9.51
20,cloudcdn.dopa.com,A,CNAME,cloudcdn.dopa.com.cdn.dnsv1.com;117.169.71.219;111.47.223.119;111.47.223.114;117.169.71.218;117.169.71.191;112.47.9.104;117.169.71.181
21,www.dbjdh8.com,A,CNAME,767113.parkingcrew.net;54.72.9.51
22,cdn.bbxbn.cn,A,CNAME,westexpired.dopa.com;103.232.215.159
23,www.xoimg.co,A,CNAME,parking.namesilo.com;107.161.23.204;107.191.99.119;192.161.187.200;204.188.203.154;188.164.131.200;198.251.84.92;70.39.125.243;173.44.37.208;64.32.22.101;45.58.190.82;198.251.81.30;209.141.38.71
24,www.abcdododo.com,A,CNAME,westexpired.dopa.com;103.232.215.159
25,www.srimg.com,A,CNAME,parking.namesilo.com;45.58.190.82;204.188.203.154;188.164.131.200;198.251.81.30;107.191.99.119;198.251.84.92;107.161.23.204;192.161.187.200;173.44.37.208;209.141.38.71;70.39.125.243;64.32.22.101
26,www5.sis001.de,A,CNAME,389901.parkingcrew.net;185.53.179.29
27,ww1.demortex.com,A,CNAME,1394032.sedoparking.com;72.52.4.90
28,api.yiqiba.mobi,A,CNAME,westexpired.dopa.com;103.232.215.159
29,imgs.7891798.cn,A,CNAME,westexpired.dopa.com;103.232.215.159
30,parkmydomain.vhostgo.com,A,CNAME,westuser.dopa.com;103.232.215.150
31,pirates.sumotracker.com,A,CNAME,14474.BODIS.COM;199.59.242.150
32,ww12.hai123.com,A,CNAME,339013.parkingcrew.net;185.53.179.29
33,test.adpooh.com,A,CNAME,767113.parkingcrew.net;54.72.9.51
34,ww7.xiaolai.li,A,CNAME,68139.bodis.com;199.59.242.150
35,www.escortdatingservice.nl,A,CNAME,712936.parkingcrew.net;185.53.179.29
36,www.androidgiftoversea.com,A,CNAME,767113.parkingcrew.net;54.72.9.51
37,www.s9tu.com,A,CNAME,parking.namesilo.com;198.251.81.30;45.58.190.82;188.164.131.200;209.141.38.71;107.191.99.119;107.161.23.204;70.39.125.243;204.188.203.154;173.44.37.208;64.32.22.101;198.251.84.92;192.161.187.200
38,ww25.tianyabook.com,A,CNAME,parking.bodis.com;199.59.242.150
39,images.smartname.com,A,CNAME,images.smartname.com.edgesuite.net;223.119.248.16;223.119.248.26
40,qidianbts.com,AAAA,CNAME,unclemoon1.dopa.com
41,ww12.v7v3.com,A,CNAME,765534.parkingcrew.net;185.53.179.29
42,dmhy.net,A,CNAME,sedoparking.com;72.52.4.90
43,ww1.samsungallstore.com,A,CNAME,1394032.sedoparking.com;72.52.4.90
44,wx1p3.epizy.com,A,CNAME,11776.BODIS.com;199.59.242.150
45,ww1.btzero.net,A,CNAME,parkingcrew.net;185.53.179.29
46,hdmfk.com,A,CNAME,westexpired.dopa.com;103.232.215.159
47,www.efunfilm.com,A,CNAME,433087.parkingcrew.net;185.53.179.29
48,82lolita.com,A,CNAME,westexpired.dopa.com;103.232.215.159
49,api.1008net.com,A,CNAME,545052.parkingcrew.net;185.53.179.29
50,www.mytorrent.ru,AAAA,CNAME,752491.sedoparking.com
51,wx6p2.epizy.com,A,CNAME,11776.BODIS.com;199.59.242.150
52,js1450.scfatao.com,A,CNAME,westexpired.dopa.com;103.232.215.159
53,ww12.xju235.com,A,CNAME,944279.parkingcrew.net;54.72.9.115
54,tRAckER.SKTorreNt.NeT,AAAA,CNAME,545052.parkingcrew.net
55,1.shipingongxiang.cn,A,CNAME,westexpired.dopa.com;103.232.215.159
56,19xa.win,A,CNAME,westexpired.dopa.com;103.232.215.159
57,www.youjrzz.com,A,CNAME,parking.namesilo.com;107.191.99.119;209.141.38.71;192.161.187.200;70.39.125.243;64.32.22.101;173.44.37.208;45.58.190.82;107.161.23.204;198.251.84.92;198.251.81.30;188.164.131.200;204.188.203.154
