target,result,class,TP_DataRatio,TP_HtmlRatio,TP_RequestRatio,avgLinkLength,avgSrcLength,differentFinalDomain,externalLinkRatio,externalSrcRatio,frameCounter,initialResponseRatio,initialResponseSize,internalSubDir,link2TextRatio,maxLinkLength,nonLinkCharacters,text2HtmlRatio
lau-livecn.qlauncher.com,1,1,0.985444712,0.982741324,0.944444444,0,75,0,0,1,5,0.014555288,9290,0,0,692,0,0
i34hd.com,0,1,0.745455083,0.725871534,0.605263158,35.63558414,74.79674797,0,0,0.178861789,1,0.120884027,89900,1,0.554801164,62,5508,0.079153445
sh.ctfs.ftn.kltvv.top,1,1,0.949409312,0.914441519,0.9,12,35.66666667,1,0,0.666666667,1,0.050590688,3640,1,0,12,69,0.022009569
xfsh.ctfs.ftn.kltvv.top,1,1,0.951976991,0.921536505,0.9,12,35.66666667,1,0,0.666666667,1,0.048023009,3640,1,0,12,69,0.022009569
tracker.sktorrent.net,1,1,0.926720398,0.92652928,0.9,0,23,0,0,0,6,0.073279602,40960,1,0,635,0,0
xa.btfs.ftn.kltvv.top,1,1,0.943132108,0.894803769,0.9,12,35.66666667,1,0,0.666666667,1,0.056867892,3640,1,0,12,69,0.022009569
xfcd.ctfs.ftn.kltvv.top,1,1,0.944742155,0.900183728,0.9,12,35.66666667,1,0,0.666666667,1,0.055257845,3640,1,0,12,69,0.022009569
cd.ctfs.ftn.kltvv.top,1,1,0.944785741,0.900325858,0.9,12,35.66666667,1,0,0.666666667,1,0.055214259,3640,1,0,12,69,0.022009569
plug-livecn.qlauncher.com,1,1,0.984617142,0.981566162,0.944444444,0,0,0,0,0,5,0.015382858,9292,0,0,694,9466,0.767658746
cloudcdn.dopa.com,0,1,0.961504902,0.959845808,0.875,43.5,44.25,0,1,0.75,1,0.038495098,750,1,1,54,0,0.002715547
www.dbjdh8.com,1,1,0.917663842,0.801082217,0.826086957,935,79.16666667,0,0.083333333,0.5,4,0.005084714,1882,0,0.024201723,1124,7701,0.267009507
www.xoimg.co,0,1,0.998951368,0.99875344,0.923076923,0,0,1,0,0,1,0.001048632,178,0,0,0,78,0.016777802
www.abcdododo.com,0,1,0.997973088,0.991592614,0.918032787,24,37.4,0,0,0.4,2,0.000175653,178,1,0.024390244,35,80,0.076421249
www.srimg.com,0,1,0.998951368,0.99875344,0.923076923,0,0,1,0,0,1,0.001048632,178,0,0,0,78,0.016777802
www5.sis001.de,1,1,0.986138308,0.983300432,0.952380952,0,75,0,0,1,5,0.013861692,8155,0,0,670,0,0
ww1.demortex.com,1,1,0.985295138,0.984828736,0.9375,0,0,0,0,0,5,0.014704862,7845,0,0,661,9458,0.78223472
pirates.sumotracker.com,1,1,0.995380092,1,0.666666667,83,0,1,1,0,1,0.004619908,11,0,0,83,0,0
ww12.hai123.com,1,1,0.984170542,0.983647847,0.941176471,453.4285714,23,0,0.142857143,0,5,0.015829458,8122,1,0.007045561,650,8456,0.354700321
test.adpooh.com,1,1,0.982989809,0.982377162,0.941176471,31.5,105.1,0,0.5,1,5,0.017010191,8025,0,0.032392894,660,926,0.049001536
ww7.xiaolai.li,1,1,0.890725236,0.892763731,0.25,0,39,0,0,1,1,0.10699141,3936,0,0,0,0,0
www.escortdatingservice.nl,1,1,0.989213826,0.987583331,0.95,465.6666667,23,0,0.166666667,0,5,0.010786174,8212,1,0.010013655,685,8700,0.370348519
www.androidgiftoversea.com,1,1,0.878679454,0.87815471,0.9,0,75,0,0,1,6,0.121320546,40960,0,0,628,0,0
ww25.tianyabook.com,1,1,0.890725236,0.892763731,0.25,0,39,0,0,1,1,0.10699141,3936,0,0,0,0,0
qidianbts.com,0,1,0.143408498,0.319755165,0.153846154,31.20274914,38.92,0,0.013745704,0.12,1,0.000364056,148,1,0.314981949,34,759,0.031883057
ww12.v7v3.com,1,1,0.807643459,0.807643459,0.5,0,44,0,0,1,1,0.192356541,3332,0,0,0,8,0.002412545
dmhy.net,0,1,1,1,1,27,134.1538462,1,0.181818182,0.692307692,4,0.006978332,2095,1,0.020046261,65,7626,0.193481017
ww1.samsungallstore.com,1,1,0.945090511,0.932215749,0.818181818,495.9,78.71428571,0,0,0.571428571,4,0.012625983,2052,0,0.028946301,502,7179,0.33250877
wx1p3.epizy.com,1,1,0.890725236,0.892763731,0.25,0,39,0,0,1,1,0.10699141,3936,0,0,0,0,0
ww1.btzero.net,1,1,0.981030706,0.980187376,0.928571429,19,126.4444444,0,0,1,5,0.018969294,7630,0,0.039106145,832,344,0.02011462
